01,01,🎉,Ano Novo
01,01,🤝,Dia da Confraternização Universal
01,01,🕊️,Dia Mundial da Paz
01,01,🏥,Janeiro Branco | Saúde Mental
01,01,🩺,Janeiro Roxo | Hanseníase
01,02,🍰,Dia do Confeiteiro
01,02,🔬,Dia do Sanitarista
01,02,🌿,Dia Mundial do Introvertido
01,02,🙏,São Basílio Magno
01,03,⚖️,Dia do Juiz de Menores
01,04,🩺,Dia do Hemofílico
01,04,📝,Dia Mundial do Braille
01,04,💉,Dia Nacional da Abreugrafia
01,05,✒️,Dia da Criação da Primeira Tipografia no Brasil
01,05,⛪,São Nepomuceno Neumann
01,06,🙌,Dia da Gratidão
01,06,👑,Dia de Reis
01,06,🌠,Dia do Astrólogo
01,06,😂,Dia Nacional Graças a Deus É Segunda-Feira
01,07,🕉️,Dia da Liberdade de Cultos
01,07,😤,Dia de Não Aguentar Mais Isso
01,07,📚,Dia do Leitor
01,08,📸,Dia do Fotógrafo
01,09,🚀,Dia do Astronauta
01,09,🇧🇷,Dia do Fico
01,10,🙏,São Gonçalo de Amarante
01,11,🚫,Dia do Controle da Poluição por Agrotóxicos
01,12,🎂,Aniversário de Belém
01,12,💼,Dia Nacional do Empresário Contábil
01,13,💭,Dia de Realizar seus Sonhos
01,13,⛪,Santo Hilário de Poitiers
01,14,🐶,Dia de Vestir seu Pet com Roupa de Gente
01,14,🤕,Dia do Enfermo
01,14,⚽,Dia do Treinador de Futebol
01,14,🧠,Dia Mundial da Lógica
01,15,👴,Dia do Adulto
01,15,🎶,Dia do Compositor
01,15,🏅,Dia Nacional do Jogo Limpo e de Combate ao Doping nos Esportes
01,15,🙏,Santo Amaro
01,16,🌾,Dia do Cortador de Cana-de-Açúcar
01,16,⛪,São Marcelo Papa
01,17,🎂,Aniversário da Emancipação do Ceará
01,17,🤦,Dia de Esquecer as Resoluções de Ano Novo
01,17,⚖️,Dia dos Tribunais de Contas do Brasil
01,17,🙏,Santo Antão
01,18,💅,Dia da Manicure
01,18,🎓,Dia da Universidade
01,18,💆,Dia do Esteticista
01,18,😂,Dia Internacional do Riso
01,18,🥋,Dia Nacional do Krav Maga
01,19,💇,Dia do Cabeleireiro
01,19,💃,Dia do Passista
01,19,🙏,São Canuto
01,20,💊,Dia do Farmacêutico
01,20,🧀,Dia Mundial do Queijo
01,20,🤰,Dia Nacional da Parteira Tradicional
01,20,🚗,Dia Nacional do Fusca
01,20,⛪,São Sebastião
01,21,🕉️,Dia Mundial da Religião
01,21,✊,Dia Nacional de Combate à Intolerância Religiosa
01,23,🩺,Dia Internacional da Medicina Integrativa
01,23,🙏,Santo Ildefonso
01,24,🏦,Dia da Previdência Social
01,24,👴,Dia dos Aposentados
01,24,🎓,Dia Internacional da Educação
01,24,🌍,Dia Mundial da Cultura Africana e Afrodescendente
01,25,🎂,Aniversário de São Paulo
01,25,📬,Dia do Carteiro
01,25,📮,Dia dos Correios e Telégrafos
01,25,🎷,Dia Nacional da Bossa Nova
01,26,🍽️,Dia da Gula
01,26,🌐,Dia Internacional das Aduanas
01,26,🩺,Dia Mundial contra a Hanseníase
01,26,🌿,Dia Mundial da Educação Ambiental
01,26,🚫,Dia Nacional de Combate e Prevenção da Hanseníase
01,26,🙏,São Timóteo
01,27,🎤,Dia do Orador
01,27,🖼️,Dia Internacional do Conservador-Restaurador
01,27,🕯️,Dia Internacional em Memória das Vítimas do Holocausto
01,28,🌍,Dia do Comércio Exterior
01,28,⚓,Dia do Portuário
01,28,🔒,Dia Internacional da Proteção de Dados
01,28,✊,Dia Nacional de Combate ao Trabalho Escravo
01,28,💼,Dia Nacional do Auditor-Fiscal do Trabalho
01,28,🙏,São Tomás de Aquino
01,29,🐉,Ano-Novo Chinês
01,29,🏳️‍⚧️,Dia Nacional da Visibilidade Trans
01,30,🥰,Dia da Saudade
01,30,🤝,Dia do Padrinho
01,30,🕊️,Dia Mundial da Não-Violência e Cultura de Paz
01,30,📖,Dia Nacional das Histórias em Quadrinhos
01,31,🔧,Dia do Engenheiro Ambiental
01,31,🎩,Dia do Mágico
01,31,🌿,Dia Nacional das Reservas Particulares do Patrimônio Natural
01,31,🙏,São João Bosco
02,01,📢,Dia do Publicitário
02,01,🩼,Fevereiro Laranja | Leucemia
02,01,🩺,Fevereiro Roxo | Lúpus Alzheimer e Fibromialgia
02,02,🌊,Dia de Iemanjá
02,02,⛴️,Dia de Nossa Senhora dos Navegantes
02,02,🕵️,Dia do Agente Fiscal
02,02,💧,Dia Mundial das Zonas Úmidas
02,03,🙏,São Brás
02,04,🎂,Aniversário de Macapá
02,04,👥,Dia do Amigo do Facebook
02,04,🤝,Dia Internacional da Fraternidade Humana
02,04,🎗️,Dia Mundial do Câncer
02,05,🖐️,Dia do Datiloscopista
02,05,🩹,Dia do Dermatologista
02,05,🍫,Dia Mundial da Nutella
02,05,🩺,Dia Nacional da Mamografia
02,06,🌿,Dia do Agente de Defesa Ambiental
02,06,✂️,Dia Internacional da Tolerância Zero à Mutilação Genital Feminina
02,07,🖨️,Dia do Gráfico
02,07,✊,Dia Nacional de Luta dos Povos Indígenas
02,08,🎖️,Dia do Magistério Militar
02,09,🛁,Dia de Leitura na Banheira
02,09,🎶,Dia do Frevo em Pernambuco
02,10,🏋️,Dia do Atleta Profissional
02,10,🧠,Dia Internacional da Epilepsia
02,10,🥗,Dia Mundial das Leguminosas
02,11,🌐,Dia da Internet Segura
02,11,🧹,Dia do Zelador
02,11,👩‍🔬,Dia Internacional das Mulheres e Meninas na Ciência
02,11,🤕,Dia Mundial do Enfermo
02,11,🙏,Nossa Senhora de Lourdes
02,12,🐒,Dia de Darwin
02,13,✨,Dia de Ter um Nome Diferente
02,13,⛪,Dia do Serviço de Assistência Religiosa do Exército
02,13,💊,Dia Internacional do Preservativo
02,13,📻,Dia Mundial do Rádio
02,14,💖,Dia de São Valentim
02,14,⚽,Dia do Botonista
02,14,📚,Dia Internacional da Doação de Livros
02,14,❤️,Dia Mundial do Amor
02,15,🎗️,Dia Internacional de Luta contra o Câncer Infantil
02,16,🎤,Dia do Repórter
02,17,🐱,Dia Mundial do Gato
02,18,🧩,Dia Internacional da Síndrome de Asperger
02,18,🍷,Dia Nacional de Combate ao Alcoolismo
02,19,🏃,Dia do Esportista
02,19,🐳,Dia Mundial da Baleia
02,19,🙏,São Conrado
02,20,⚖️,Dia Mundial da Justiça Social
02,20,🚫,Dia Nacional de Combate às Drogas e Alcoolismo
02,21,🗣️,Dia Internacional da Língua Materna
02,21,🇮🇹,Dia Nacional do Imigrante Italiano
02,22,🧹,Dia do Auxiliar de Serviços Gerais
02,22,🏛️,Dia Internacional do Maçom
02,22,🍹,Dia Mundial da Margarita
02,23,🏡,Dia Nacional do Movimento Municipalista Brasileiro
02,23,🔄,Dia Nacional do Rotary
02,24,🗳️,Dia da Conquista do Voto Feminino no Brasil
02,24,📜,Promulgação da Primeira Constituição Republicana
02,25,📡,Dia da Criação do Ministério das Comunicações
02,26,📖,Dia de Contar um Conto de Fadas
02,26,🙏,Santo Alexandre
02,27,🕵️,Dia do Agente Fiscal da Receita Federal
02,27,📚,Dia do Livro Didático
02,27,⛪,São Leandro
02,28,🥳,Dia da Ressaca
02,28,🩺,Dia Mundial da Doença Rara
02,28,🤕,Dia Mundial de combate a LER/DORT
02,28,🙏,São Romão e Lupicino
03,01,🎂,Aniversário do Rio de Janeiro
03,01,🤒,Dia das Crianças Doentes
03,01,🌿,Dia do Turismo Ecológico
03,01,🚫,Dia Mundial de Zero Discriminação
03,01,✈️,Dia Pan-Americano de Turismo
03,01,🩺,Março Azul-Marinho | Câncer Colorretal
03,01,🎗️,Março Vermelho | Câncer Renal
03,03,⚓,Dia do Corpo de Intendentes da Marinha
03,03,👂,Dia do Médico Otorrinolaringologista
03,03,🎧,Dia Mundial da Audição
03,03,🐾,Dia Mundial da Vida Selvagem
03,03,👶,Dia Mundial dos Defeitos do Nascimento
03,03,🥁,Segunda-feira de Carnaval
03,04,🎭,Carnaval
03,04,🎲,Dia dos Soldadinhos de Brinquedo
03,04,🩺,Dia Internacional da Conscientização sobre o HPV
03,04,🔧,Dia Mundial da Engenharia para o Desenvolvimento Sustentável
03,04,⚖️,Dia Mundial da Obesidade
03,05,🤝,Dia da Integração Cooperativista
03,05,📬,Dia do Filatelista Brasileiro
03,05,✋,Dia Internacional do Desarmamento e Conscientização sobre a Não-Proliferação
03,05,💡,Dia Mundial da Eficiência Energética
03,05,🎻,Dia Nacional da Música Clássica
03,05,🙏,Quaresma 2025 (de 5 de março a 17 de abril)
03,05,🔥,Quarta-feira de Cinzas (Ponto Facultativo até as 14h)
03,07,⚓,Dia do Fuzileiro Naval
03,07,🦖,Dia do Paleontólogo
03,07,🛐,Dia Mundial da Oração
03,07,⚖️,Dia Nacional da Advocacia Pública
03,08,👩,Dia Internacional da Mulher
03,09,🎧,Dia Mundial do DJ
03,10,🏘️,Dia da Sociedade dos Amigos do Bairro
03,10,🧹,Dia do Conservador
03,10,👴,Dia do Sogro
03,10,🎮,Dia do Super Mario
03,10,📞,Dia do Telefone
03,10,👩‍⚖️,Dia Internacional das Juízas
03,10,🚶,Dia Nacional de Combate ao Sedentarismo
03,12,🎂,Aniversário de Recife
03,12,📚,Dia do Bibliotecário
03,12,🚫,Dia Mundial Contra a Cibercensura
03,12,👁️,Dia Mundial do Glaucoma
03,13,🌿,Dia do Conservacionismo
03,13,🩺,Dia Mundial do Rim
03,14,🌑,1º Eclipse Lunar de 2025 - Eclipse Total (visível no Brasil)
03,14,💦,Dia da Incontinência Urinária
03,14,🕷️,Dia de Salvar uma Aranha
03,14,🥧,Dia do Pi
03,14,📖,Dia do Vendedor de Livros
03,14,➗,Dia Internacional da Matemática
03,14,🌊,Dia Internacional de Luta contra as Barragens
03,14,😴,Dia Mundial do Sono
03,14,🐾,Dia Nacional dos Animais
03,15,🏫,Dia da Escola
03,15,💬,Dia das Confissões Sinceras
03,15,🚫,Dia Internacional de Combate à Islamofobia
03,15,🛍️,Dia Mundial do Consumidor
03,15,🙏,São Longuinho
03,16,⚖️,Dia do Agente Federal de Execução Penal
03,16,🔗,Dia do Agente Penitenciário Federal
03,16,🩺,Dia do Médico Clínico
03,16,🌍,Dia Nacional de Conscientização sobre as Mudanças Climáticas
03,16,👂,Dia Nacional do Ouvidor
03,17,🎂,Aniversário de Aracaju
03,17,🍀,Dia de São Patrício
03,17,⚰️,Dia do Agente Funerário
03,18,🏛️,Dia do DeMolay
03,18,✡️,Dia Nacional da Imigração Judaica
03,19,🔨,Dia do Carpinteiro e do Marceneiro
03,19,🛠️,Dia do Consertador
03,19,🎨,Dia Nacional do Artesão
03,19,🙏,São José
03,20,🇫🇷,Dia da Língua Francesa
03,20,📖,Dia do Contador de Histórias
03,20,😊,Dia Internacional da Felicidade
03,20,🦷,Dia Mundial da Saúde Bucal
03,20,🥕,Dia Mundial sem Carne
03,20,🐟,Dia Nacional da Aquicultura
03,20,🍽️,Dia Nacional de Atenção à Disfagia
03,20,🎭,Dia Nacional do Teatro para a Infância e Juventude
03,20,🍂,Início do Outono
03,21,🥖,Dia do Pão Francês
03,21,🍮,Dia do Tiramisù
03,21,🚫,Dia Internacional Contra a Discriminação Racial
03,21,🤕,Dia Internacional da Cefaleia em Salvas
03,21,🌳,Dia Internacional das Florestas e da Árvore
03,21,🧩,Dia Internacional da Síndrome de Down
03,21,🌍,Dia Internacional de Nowruz
03,21,🌸,Dia Internacional do Perfume
03,21,👶,Dia Mundial da Infância
03,21,✍️,Dia Mundial da Poesia
03,22,💧,Dia Mundial da Água
03,23,🎂,Aniversário de Florianópolis
03,23,👓,Dia do Optometrista
03,23,☁️,Dia Mundial da Meteorologia
03,23,📍,Dia Mundial do Acupunturista
03,23,🏫,Dia Nacional do Piso Salarial dos Professores
03,24,⚖️,Dia Internacional para o Direito à Verdade para as Vítimas de Graves Violações dos Direitos Humanos
03,24,🩺,Dia Mundial de Combate à Tuberculose
03,25,⛪,Dia da Anunciação do Senhor
03,25,📜,Dia da Constituição
03,25,✈️,Dia do Especialista de Aeronáutica
03,25,🔗,Dia Internacional da Solidariedade da Pessoa Detenta ou Desaparecida
03,25,🤝,Dia Internacional de Solidariedade com Funcionários Detidos e Desaparecidos da ONU
03,25,🕉️,Dia Internacional em Memória das Vítimas da Escravidão e do Comércio Transatlântico de Escravos
03,25,🌐,Dia Nacional da Comunidade Árabe
03,25,⚖️,Dia Nacional do Oficial de Justiça
03,25,🌍,Hora do Planeta
03,25,🙏,São Dimas
03,26,🎂,Aniversário de Porto Alegre
03,26,🎉,Dia de Criar seu Próprio Feriado
03,26,🍫,Dia do Cacau
03,26,🌎,Dia do Mercosul
03,26,🧠,Dia Mundial de Conscientização da Epilepsia
03,27,🎪,Dia do Circo
03,27,🎭,Dia Mundial do Teatro
03,28,📏,Dia do Diagramador
03,28,✏️,Dia do Revisor
03,29,🎂,Aniversário de Curitiba
03,29,🎂,Aniversário de Salvador
03,30,🗑️,Dia Internacional do Lixo Zero
03,30,🧠,Dia Mundial do Transtorno Bipolar
03,31,🇧🇷,Dia da Integração Nacional
03,31,🥗,Dia da Saúde e Nutrição
03,31,🏳️‍⚧️,Dia Internacional da Visibilidade Transgênero
03,31,💾,Dia Mundial do Backup
04,01,🧩,Abril Azul | Autismo
04,01,🛠️,Abril Verde | Saúde e Segurança no Trabalho
04,01,✊,Dia da Abolição da Escravidão dos Índios
04,01,🤡,Dia da Mentira - 1º de Abril
04,01,😂,Dia Internacional da Diversão no Trabalho
04,02,✅,Dia Internacional da Checagem de Fatos
04,02,📚,Dia Internacional do Livro Infantil
04,02,🧠,Dia Mundial da Conscientização do Autismo
04,02,🏥,Semana da Saúde no Brasil (de 2 a 7)
04,03,📊,Dia do Atuário
04,03,🏃,Dia do Desporto Comunitário
04,04,💣,Dia Internacional de Alerta às Minas Terrestres e Assistência à Desminagem
04,04,🐾,Dia Mundial dos Animais de Rua
04,04,🧠,Dia Nacional do Parkinsoniano
04,05,📡,Dia das Telecomunicações
04,05,👶,Dia do Filho
04,05,💊,Dia do Propagandista Farmacêutico
04,05,🧘,Dia Internacional da Consciência
04,06,🏅,Dia Internacional do Esporte para o Desenvolvimento e pela Paz
04,06,💪,Dia Mundial da Atividade Física
04,06,🏃,Dia Nacional de Mobilização pela Promoção da Saúde e Qualidade de Vida
04,07,🏠,Dia do Corretor
04,07,✍️,Dia do Jornalista
04,07,🩼,Dia do Médico Legista
04,07,🕉️,Dia Internacional para Reflexão do Genocídio de 1994 contra os Tutsi em Ruanda
04,07,🩺,Dia Mundial da Saúde
04,07,🚫,Dia Nacional de Combate ao Bullying e à Violência na Escola
04,08,🎂,Aniversário de Cuiabá
04,08,🏊,Dia da Natação
04,08,🌠,Dia Mundial da Astronomia
04,08,🎗️,Dia Mundial do Combate ao Câncer
04,08,📝,Dia Nacional do Sistema Braille
04,09,📚,Dia Nacional da Biblioteca
04,09,🔩,Dia Nacional do Aço
04,10,🔧,Dia da Engenharia
04,10,⚙️,Dia do Engenheiro Metalurgista
04,10,🎖️,Dia do Engenheiro Militar
04,10,🌿,Dia Mundial da Homeopatia
04,11,🥁,Dia da Escola de Samba
04,11,🩺,Dia do Infectologista
04,11,🧠,Dia Mundial de Conscientização da Doença de Parkinson
04,12,👶,Dia do Obstetra
04,12,🚀,Dia Internacional do Voo Espacial Tripulado
04,12,😂,Dia Nacional do Humorista
04,13,🎂,Aniversário de Fortaleza
04,13,💋,Dia do Beijo
04,13,🎶,Dia do Hino Nacional Brasileiro
04,13,👦,Dia do Jovem
04,13,💼,Dia do Office-Boy
04,13,🙏,Domingo de Ramos
04,14,☁️,Dia de Olhar para o Céu
04,14,🩺,Dia do Técnico em Serviço de Saúde
04,14,🩺,Dia Mundial da Doença de Chagas
04,14,☕,Dia Mundial do Café
04,14,🧠,Dia Nacional do Neurocirurgião
04,14,🌎,Dia Pan-Americano
04,15,🔫,Dia do Desarmamento Infantil
04,15,🎨,Dia Mundial da Arte
04,15,✏️,Dia Mundial do Desenhista
04,15,🌍,Dia Nacional da Conservação do Solo
04,16,😴,Dia de Trabalhar de Pijama
04,16,🛐,Dia do Sacerdócio
04,16,🎤,Dia Mundial da Voz
04,17,🩼,Dia Mundial da Hemofilia
04,17,🩺,Dia Mundial do Hemofílico
04,17,🌱,Dia Nacional da Botânica
04,17,🌾,Dia Nacional de Luta pela Reforma Agrária
04,17,🙏,Quinta-feira Santa
04,18,📖,Dia de Monteiro Lobato
04,18,🤝,Dia do Amigo
