Month	Day	Holiday
:-----------:-----------------------------------------------------------------------------------------
01	01	🎉 Ano Novo
01	01	🎉 Confraternização Universal
01	01	🎉 Dia Mundial da Paz
01	02	🔬 Dia do Sanitarista
01	03	💉 Dia do Hemofílico
01	03	💉 Dia da Abreugrafia
01	04	📚 Dia Mundial do Braile
01	05	🖨️ Dia Nacional da Tipografia
01	06	👑 Dia de Reis
01	06	🙏 Dia da Gratidão
01	07	📖 Dia do Leitor
01	07	📬 Dia do Mensageiro
01	07	🛐 Dia da Liberdade de Culto
01	08	📷 Dia da Fotografia
01	08	📷 Dia do Fotógrafo
01	09	🏰 Dia do Fico (em 1822)
01	09	🚀 Dia do Astronauta
01	10	⚓ Dia de São Gonçalo
01	10	🎭 Dia de Peculiar People Play
01	11	⚔️ Dia de São Teodósio
01	12	💼 Dia do Empresário Contábil
01	14	👮 Dia do Sargento
01	14	⚽ Dia do Treinador de Futebol
01	15	🎵 Dia do Compositor
01	16	🎋 Dia do Cortador de Cana-de-Açúcar
01	18	💅 Dia da Manicure
01	19	💇 Dia Oficial do Cabeleireiro
01	19	👐 Dia do Terapeuta Ocupacional
01	20	💊 Dia do Farmacêutico
01	20	🤰 Dia da Parteira Tradicional
01	25	📮 Dia do Carteiro
01	27	🗣️ Dia do Orador
01	28	⚓ Dia do Portuário
01	28	💼 Dia do Auditor Fiscal do Trabalho
01	31	🎩 Dia do Mágico
01	31	🌿 Dia do Engenheiro Ambiental
02	01	📢 Dia do Publicitário
02	02	✝️ Dia de Jesus Cristo
02	02	⛪ Dia de Nossa Senhora dos Navegantes
02	02	💼 Dia do Agente Fiscal
02	05	📝 Dia do Datiloscopista
02	05	🩺 Dia do Dermatologista
02	06	🌳 Dia do Agente de Defesa Ambiental
02	07	🎨 Dia do Gráfico
02	10	🏅 Dia do Atleta Profissional
02	11	🔑 Dia do Zelador
02	16	📰 Dia do Repórter
02	22	🔧 Dia do Auxiliar de Serviços Gerais
02	24	📜 Promulgação da primeira Constituição da República do Brasil (1891)
02	27	🔍 Dia do Agente Fiscal da Receita Federal
03	07	⚓ Dia do Fuzileiro Naval
03	07	🦕 Dia do Paleontólogo
03	08	👩‍👧‍👧 Dia Internacional da Mulher
03	09	🎧 Dia do DJ
03	12	📚 Dia do Bibliotecário
03	14	😎 Dia dos Carecas
03	15	💳 Dia do Consumidor
03	16	👮‍♂️ Dia do Agente Penitenciário Federal
03	16	🗣️ Dia Nacional do Ouvidor
03	17	🍀 Dia de São Patrício
03	19	💼 Dia do Caráter
03	19	🛠️ Dia do Carpinteiro e do Marceneiro
03	19	🔧 Dia do Consertador
03	19	🎨 Dia Nacional do Artesão
03	20	🌼 Início do Outono
03	23	👓 Dia do Optometrista
03	27	🎭 Dia Mundial do Teatro
03	27	🎨 Dia do Graffiti
03	28	📝 Dia do Diagramador
03	28	✏️ Dia do Revisor
04	01	😄 Dia da Mentira
04	01	🍂 Dia da Abolição da Escravidão dos Índios	1680
04	02	🧩 Dia Mundial de Conscientização do Autismo
04	02	💊 Dia do Propagandista
04	02	📚 Dia Internacional do Livro Infantil
04	04	🧠 Dia Nacional do Parkinsoniano
04	05	💊 Dia do Propagandista Farmacêutico
04	07	📈 Dia do Corretor
04	07	📰 Dia do Jornalista
04	07	🏥 Dia Mundial da Saúde
04	07	⚕️ Dia do Médico Legista
04	08	🎗️ Dia Mundial de Combate ao Câncer
04	08	🔭 Dia Mundial da Astronomia
04	08	📑 Dia Nacional do Sistema Braile
04	10	🏭 Dia do Engenheiro Metalurgista
04	11	💉 Dia do Infectologista
04	12	🤣 Dia do Humorista
04	12	🤰 Dia do Obstetra
04	13	📄 Dia do Office Boy
04	14	🩺 Dia do Técnico em Serviço de Saúde
04	14	🧠 Dia do Neurocirurgião
04	15	🚫 Dia do Desarmamento Infantil
04	15	🚴 Dia Internacional do Ciclista
04	18	📚 Dia Nacional do Livro Infantil
04	18	📻 Dia Mundial do Radiamador
04	19	🍃 Dia do Índio
04	20	🗺️ Dia do Diplomata
04	21	⚔️ Dia de Tiradentes (Inconfidência Mineira)
04	21	🏢 Inauguração de Brasília (1960)
04	21	👮 Dia do Funcionário Policial Civil
04	21	👷‍♂️ Dia do Metalúrgico
04	21	👚 Dia do Têxtil
04	22	🇧🇷 Dia do Descobrimento do Brasil (1500)
04	22	✈️ Dia do Agente de Viagem
04	23	🐉 Dia de São Jorge
04	23	👦 Dia do Escoteiro
04	23	🔧 Dia do Serralheiro
04	24	🤟 Dia de Libras (Língua Brasileira de Sinais)
04	24	📚 Dia Mundial do Livro
04	25	📦 Dia do Despachante Aduaneiro
04	25	📚 Dia do Profissional da Contabilidade
04	26	👞 Dia do Engraxate
04	26	⚽ Dia do Goleiro
04	26	⚖️ Dia do Juiz Trabalhista
04	27	🏠 Dia da Empregada Doméstica
04	28	🎓 Dia da Educação
04	28	👵 Dia da Sogra
04	29	💃 Dia Internacional da Dança
04	30	👩‍⚕️ Dia Nacional da Mulher
04	30	🚂 Dia do Ferroviário
05	01	👷‍♂️ Dia do Trabalhador
05	03	👨‍💼 Dia do Taquígrafo
05	05	🤱 Dia Internacional da Parteira
05	06	➗ Dia Nacional da Matemática
05	06	🗺️ Dia do Cartógrafo
05	06	🧠 Dia do Psicanalista
05	07	🔇 Dia Mundial do Silêncio
05	07	👁️ Dia do Oftalmologista
05	08	🎨 Dia do Artista Plástico Brasileiro
05	08	📈 Dia do Profissional de Marketing
05	10	👮 Dia Nacional do Guia de Turismo
05	10	👩‍🍳 Dia da Cozinheira
05	12	🏭 Dia do Engenheiro Militar
05	12	👩‍⚕️ Dia Internacional da Enfermagem e do Enfermeiro
05	13	🗽 Dia da Abolição da Escravatura
05	13	👨‍🍳 Dia do Chefe de Cozinha
05	13	🙏 Dia de Nossa Senhora de Fátima
05	13	🐕 Dia do Zootecnista
05	15	🎭 Dia do Cortejo
05	15	🤝 Dia do Assistente Social
05	15	💼 Dia do Gerente Bancário
05	16	🔬 Dia dos Cientistas
05	16	♻️ Dia do Gari
05	17	🌈 Dia Internacional da Luta Contra à Homofobia
05	17	📡 Dia Internacional da Comunicação
05	18	👧 Dia Nacional de Combate ao Abuso e à Exploração Sexual de Crianças e Adolescentes
05	18	🔧 Dia dos Vidraceiros
05	19	🧪 Dia do Profissional de Física
05	19	👨‍⚖️ Dia do Defensor Público
05	20	👶 Dia do Comissário de Menores
05	20	👩‍⚕️ Dia Nacional do Técnico e Auxiliar de Enfermagem
05	20	👩‍🏫 Dia do Pedagogo
05	22	🐝 Dia do Apicultor
05	23	☀️ Dia do Sol
05	24	📐 Dia da Indústria Gráfica
05	24	🌕 Dia da Lua
05	24	📝 Dia do Datilógrafo
05	24	📞 Dia do Telegrafista
05	25	🏢 Dia da Indústria e do Industrial
05	25	🧵 Dia da Costureira
05	25	👐 Dia do Massagista
05	25	🌾 Dia do Trabalhador Rural
05	26	💰 Dia do Revendedor Lotérico
05	27	💼 Dia do Profissional Liberal
05	28	💊 Dia de Ação pela Saúde da Mulher
05	28	🤰 Dia Mundial Contra a Mortalidade Materna
05	28	🎨 Dia do Ceramista
05	29	🗺️ Dia do Geógrafo e do Estatístico — Instituto Brasileiro de Geografia e Estatística (IBGE)
05	30	🏔️ Dia do Geólogo
05	30	🖌️ Dia do Decorador
05	31	✈️ Dia da Aeromoça e do Comissário de Voo
06	03	👨‍👩‍👧‍👦 Dia Internacional do Administrador de Pessoal e da Comunidade Social
06	03	💼 Dia do Profissional de Recursos Humanos
06	04	🔎 Dia do Engenheiro Agrimensor
06	05	🌍 Dia Mundial do Meio Ambiente
06	08	🤝 Dia do Cunhado
06	08	🍊 Dia do Citricultor
06	08	🌊 Dia do Oceanógrafo
06	09	🔑 Dia do Porteiro
06	09	🎾 Dia do Tenista
06	11	⚓ Dia da Marinha Brasileira
06	11	🧽 Dia do Educador Sanitário
06	12	💑 Dia dos Namorados
06	13	👼 Dia de Santo Antônio
